Saldoymora,Fecha,Titulos,TIL,Actual,Cobertura V,Escenarios Estres
Saldo de capital cartera:,marzo de 2024,TIL PESOS L4 ,A-2025:,-,0.00%,Prepago Mora A B1 B2 CResidual
" $10,797 millones ",,$millones de pesos,B1-2027:,$218.0,4231.58%,$mm
TIL,,,B2-2027:,"$4,760.7",185.30%,"10% 1.0 100% 100% 100% 100% 2,598"
,,,C-2027:,"$1,558.0",141.13%,"20% 1.0 100% 100% 100% 100% 2,600"
,,,,,,"MM 1.0 100% 100% 100% 100% 2,601"
,,,,,,"10% 1.5 100% 100% 100% 100% 2,572"
,,,,,,"20% 1.5 100% 100% 100% 100% 2,575"
,,,,,,"MM 1.5 100% 100% 100% 100% 2,575"
,,,,,,"10% 5.0 100% 100% 100% 100% 2,390"
,,,,,,"20% 5.0 100% 100% 100% 100% 2,395"
,,,,,,"MM 5.0 100% 100% 100% 100% 2,396"
