Saldoymora,Fecha,Titulos,TIPS,Actual,Cobertura V,Escenarios Estres
$millones de pesos,febrero de 2024,TIPS PESOS N15 _,A-2027:,"$15,309",522.94%,Prepago Mora A B 2032 MZ 2032 C 2032Residual
Saldo de capital cartera:,,$millones de pesos,B-2032:,"$45,789",131.03%,$mm
" $86,671 millones ",,,MZ-2032:,"$6,701",118.08%,"10% 1.0 100% 100% 100% 100% 4,940"
Cobeturas Externas,,,C-2032:,"$2,234",114.31%,"20% 1.0 100% 100% 100% 100% 6,221"
Mora >120 dÃ­as:,,,,,,"MM 1.0 100% 100% 100% 100% 4,773"
" $6,615 millones ",,,,,,"10% 1.5 100% 100% 100% 100% 4,472"
$ ,,,,,,"20% 1.5 100% 100% 100% 100% 5,824"
TIPS,,,,,,"MM 1.5 100% 100% 100% 100% 4,296"
,,,,,,"10% 5.0 100% 100% 100% 100% 1,514"
,,,,,,"20% 5.0 100% 100% 100% 100% 3,167"
,,,,,,"MM 5.0 100% 100% 100% 100% 1,287"
