Saldoymora,Fecha,Titulos,TIPS,Actual,Cobertura V,Escenarios Estres
Saldo de capital cartera:,marzo de 2024,TIPS PESOS N18,A1-2024:,-,112.99%,Prepago Mora A1 A2 B MZ CResidual
" $127,333 millones ",,$millones de pesos,A2-2034:,"$105,629",104.00%,$mm
Mora >120 dÃ­as:,,,B-2034:,"$9,131",102.41%,"10% 1.0 100% 100% 100% 100% 100% 6,887"
" $7,983 millones ",,,MZ-2034:,"$1,785",100.86%,"20% 1.0 100% 100% 100% 100% 100% 6,707"
AvalÃºo BRP,,,C-2034:,"$1,785",,"MM 1.0 100% 100% 100% 100% 100% 6,985"
$ ,,,,,,"10% 1.5 100% 100% 100% 100% 100% 5,671"
-,,,,,,"20% 1.5 100% 100% 100% 100% 100% 5,722"
TIPS,,,,,,"MM 1.5 100% 100% 100% 100% 100% 5,708"
,,,,,,10% 5.0 100% 100% 100% 100% 100% -
,,,,,,20% 5.0 100% 100% 100% 100% 100% -
,,,,,,MM 5.0 100% 100% 100% 100% 100% -
