Saldoymora,Fecha,Titulos,TIPS,Actual,Cobertura V,Escenarios Estres
Saldo de capital cartera:,marzo de 2024,TIPS PESOS N7 _,A-2023:,-,223.10%,Prepago Mora A B MZ CResidual
" $30,591 millones ",,$millones de pesos,B-2028:,-,163.08%,$mm
"Mora >120 dÃ­as:  $5,882 millones ",,,MZ-2028:,"$11,076",,"10% 1.0 100% 100% 100% 100% 2,512"
TIPS,,,C-2028:,"$4,076",,"20% 1.0 100% 100% 100% 100% 2,705"
,,,,,,"MM 1.0 100% 100% 100% 100% 2,475"
,,,,,,"10% 1.5 100% 100% 100% 100% 2,442"
,,,,,,"20% 1.5 100% 100% 100% 100% 2,648"
,,,,,,"MM 1.5 100% 100% 100% 100% 2,400"
,,,,,,"10% 5.0 100% 100% 100% 100% 1,917"
,,,,,,"20% 5.0 100% 100% 100% 100% 2,213"
,,,,,,"MM 5.0 100% 100% 100% 100% 1,896"
