Saldoymora,Fecha,Titulos,TIPS,Actual,Cobertura V,Escenarios Estres
Saldo de capital de la cartera:,09 de marzo de 2024,TIPS U2_,A-2027:,"108,139.4",231.05%,Prepago Mora A B MZ C
"271,853",,Cifras en miles de UVR,B-3032:,"105,371.0",117.02%,"10% 1.0 100% 100% 100% 100% 3,819"
Saldo en Mora>120 dÃ­as:,,,MZ-3032:,"20,020.5",106.99%,"20% 1.0 100% 100% 100% 100% 5,492"
"21,996",,,C-3032:,"13,171.5",101.28%,"MM 1.0 100% 100% 100% 100% 3,674"
TIPS,,,,,,"10% 1.5 100% 100% 100% 100% 2,197"
,,,,,,"20% 1.5 100% 100% 100% 100% 3,999"
,,,,,,"MM 1.5 100% 100% 100% 100% 1,947"
,,,,,,10% 5.0 100% 100% 100% 84% -
,,,,,,20% 5.0 100% 100% 100% 100% -
,,,,,,MM 5.0 100% 100% 100% 82% -
