Saldoymora,Fecha,Titulos,TIPS,Actual,Cobertura V,Escenarios Estres
Saldo de capital de la cartera:,15 de marzo de 2024,TIPS U4_,A-2027:,"325,170.0",156.33%,Prepago Mora A B MZ C
"534,669",,Cifras en miles de UVR,B-2034:,"125,007.3",112.92%,"10% 1.0 100% 100% 100% 100% 27,394"
Saldo en Mora>120 dÃ­as:,,,MZ-2034:,"16,162.5",109.01%,"20% 1.0 100% 100% 100% 100% 31,482"
"26,315",,,C--2034:,"10,364.5",106.64%,"MM 1.0 100% 100% 100% 100% 27,551"
TIPS,,,,,,"10% 1.5 100% 100% 100% 100% 22,994"
,,,,,,"20% 1.5 100% 100% 100% 100% 27,838"
,,,,,,"MM 1.5 100% 100% 100% 100% 23,087"
,,,,,,10% 5.0 100% 100% 100% 100% 23
,,,,,,"20% 5.0 100% 100% 100% 100% 6,607"
,,,,,,MM 5.0 100% 100% 100% 100% -
