Saldoymora,Fecha,Titulos,TIS,Actual,Cobertura V,Escenarios Estres
$millones de pesos,marzo de 2024,TIS PESOS H2 _,A-2028:,"$9,395",213.16%,Prepago Mora A B 2030 B 2031Residual
Saldo de capital cartera:,,$millones de pesos,B1-2033:,"$6,189",128.51%,$mm
" $20,518 millones ",,,B2-2033:,"$1,666",116.10%,"10% 1.0 100% 100% 100% 2,207"
 $490 millones ,,,,,,"20% 1.0 100% 100% 100% 2,305"
TIS,,,,,,"MM 1.0 100% 100% 100% 2,170"
,,,,,,"10% 1.5 100% 100% 100% 2,066"
,,,,,,"20% 1.5 100% 100% 100% 2,186"
,,,,,,"MM 1.5 100% 100% 100% 2,023"
,,,,,,"10% 5.0 100% 100% 100% 1,147"
,,,,,,"20% 5.0 100% 100% 100% 1,421"
,,,,,,"MM 5.0 100% 100% 100% 1,099"
